,Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
0,Apartamento,590,1100,Vila Andrade,35,1,1,1
1,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
2,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
3,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4,Apartamento,1150,3200,Vila Mariana,110,3,2,1
5,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
6,Apartamento,850,5900,Sumaré,74,2,3,2
7,Apartamento,450,3200,Indianópolis,36,1,1,0
8,Apartamento,0,1350,Vila Madalena,24,1,1,0
9,Apartamento,536,2800,Brooklin,47,1,1,1
10,Sala/Conjunto,0,1700,Santana,60,0,1,0
11,Apartamento,480,1500,Brás,49,2,1,1
12,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
13,Apartamento,550,2000,Moema,54,1,1,1
14,Apartamento,410,1800,Vila Mariana,44,1,1,0
15,Apartamento,506,2100,Barra Funda,60,2,2,1
16,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
17,Sala/Conjunto,0,600,República,20,0,1,0
18,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
19,Apartamento,700,2300,Jaguaré,70,3,2,2
20,Apartamento,724,1800,Vila Paulista,76,3,2,1
21,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
22,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
23,Apartamento,781,1800,Sumaré,50,1,1,1
24,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
25,Apartamento,0,2600,Bela Vista,48,1,1,0
26,Apartamento,0,4500,Perdizes,140,3,3,2
27,Sala/Conjunto,0,1950,República,65,0,2,0
28,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
29,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
30,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
31,Apartamento,250,1051,Liberdade,30,1,1,0
32,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
33,Apartamento,650,1700,Consolação,50,2,1,1
34,Apartamento,925,3999,Itaim Bibi,95,2,1,0
35,Casa,2350,950,Jardim Japão,40,1,1,0
36,Apartamento,590,1100,Vila Andrade,35,1,1,1
37,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
38,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
39,Apartamento,651,1500,Vila Água Funda,75,2,2,1
40,Apartamento,1150,3200,Vila Mariana,110,3,2,1
41,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
42,Apartamento,850,5900,Sumaré,74,2,3,2
43,Apartamento,450,3200,Indianópolis,36,1,1,0
44,Apartamento,0,1350,Vila Madalena,24,1,1,0
45,Apartamento,536,2800,Brooklin,47,1,1,1
46,Sala/Conjunto,0,1700,Santana,60,0,1,0
47,Apartamento,480,1500,Brás,49,2,1,1
48,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
49,Apartamento,550,2000,Moema,54,1,1,1
50,Apartamento,410,1800,Vila Mariana,44,1,1,0
51,Apartamento,506,2100,Barra Funda,60,2,2,1
52,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
53,Sala/Conjunto,0,600,República,20,0,1,0
54,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
55,Apartamento,700,2300,Jaguaré,70,3,2,2
56,Apartamento,724,1800,Vila Paulista,76,3,2,1
57,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
58,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
59,Apartamento,781,1800,Sumaré,50,1,1,1
