Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
Apartamento,2.478,1750,Santana, 62 ,2,2,1
Apartamento,3.020,2300,Santana, 72 ,2,2,1
Condomínio,59.600,50000,Alto Da Boa Vista, 594 ,4,6,4
Apartamento,64.990,50000,Alto De Pinheiros, 644 ,4,6,8
Apartamento,18.809,13000,Vila Madalena, 280 ,4,5,5
Sobrado,19.400,18000,Santana, 597 ,4,7,6
Apartamento,4.380,3000,Santana, 78 ,3,2,2
Apartamento,2.808,2000,Bela Vista, 48 ,1,1,1
Apartamento,4.383,3300,Vila Mariana, 100 ,3,3,1
Salas,2.594,1400,Jardim América, 40 ,0,1,0
Apartamento,7.680,6300,Pinheiros, 72 ,2,2,1
Casa térrea,10.000,10000,Jardim São Bento, 400 ,2,6,8
Apartamento,13.725,10800,Jardim Marajoara, 266 ,4,6,4
Casa de vila,1.000,1000,Casa Verde, 30 ,1,1,0
Casa de vila,850,850000,Casa Verde, 30 ,1,1,0
Sobrado,3.293,3000,Imirim, 149 ,3,3,2
Apartamento,3.210,2650,Casa Verde, 49 ,1,1,1
Apartamento,3.400,2550,Santana, 110 ,2,2,1
Apartamento,1.685,1200,Bela Vista, 46 ,1,1,1
Apartamento,6.482,4300,Jardim Paulista, 165 ,3,3,1
Apartamento,2.627,2100,Santana, 82 ,3,2,1
Apartamento,2.900,2300,Santana, 70 ,2,2,1
Apartamento,3.111,2100,Santana, 66 ,2,2,1
Apartamento,4.266,3000,Santana, 93 ,3,2,1
Apartamento,4.030,3000,Santana, 75 ,3,2,1
Apartamento,3.780,2500,Pinheiros, 80 ,3,2,1
Apartamento,2.202,1500,Bela Vista, 50 ,1,1,1
Apartamento,2.988,2400,Santana, 49 ,1,1,1
Apartamento,20.946,16000,Jardim Paulista, 207 ,3,2,2
Casa,84.500,80000,Santana, 2000 ,5,0,10
Apartamento,6.480,4500,Perdizes, 115 ,3,3,2
Apartamento,3.706,2500,Vila Mariana, 120 ,2,2,1
Apartamento,3.400,2500,Santana, 54 ,2,1,2
Apartamento,2.923,2300,Santana, 53 ,1,1,1
Apartamento,13.068,10500,Jardim Paulista, 137 ,3,4,1
Apartamento,3.127,1950,Santana, 60 ,2,2,2
Apartamento,4.159,2550,Vila Mariana, 128 ,3,3,1
Apartamento,2.977,2400,Bela Vista, 42 ,1,1,1
Apartamento,2.324,1650,Santana, 70 ,2,2,1
Cobertura,13.000,7800,Santana, 600 ,5,7,4
Apartamento,77.200,60000,Alto De Pinheiros, 508 ,4,6,6
Sobrado,9.815,8000,Alto Da Boa Vista, 450 ,4,5,6
Apartamento,4.101,2600,Vila Mariana, 97 ,3,2,2
Apartamento,3.188,2600,Santana, 49 ,1,1,1
Apartamento,2.705,2000,Santana, 63 ,2,2,1
Apartamento,1.860,1500,Santana, 92 ,2,2,0
Apartamento,3.700,2500,Santana, 90 ,3,2,1
Apartamento,2.100,1300,Bela Vista, 30 ,1,1,1
Apartamento,16.840,12000,Moema, 192 ,3,3,3
Apartamento,2.215,1400,Santana, 105 ,2,2,1
Apartamento,3.400,2750,Santana, 60 ,2,1,0
Salas,2.876,1800,Santana, 47 ,0,1,1
Condomínio,20.641,17000,Alto Da Boa Vista, 300 ,4,5,4
Apartamento,4.930,3800,Jardim Paulista, 124 ,2,2,1
Apartamento,2.770,1700,Santana, 53 ,2,2,1
Apartamento,5.895,4300,Santana, 123 ,3,2,2
Apartamento,5.987,3800,Itaim Bibi, 116 ,3,3,1
Apartamento,3.058,2590,Santana, 33 ,1,1,1
Apartamento,2.204,1750,Vila Leopoldina, 48 ,2,1,1
Apartamento,31.760,23000,Alto De Pinheiros, 316 ,4,5,5
Apartamento,12.000,9000,Jardim Paulista, 168 ,4,2,2
Apartamento,11.801,9800,Higienópolis, 180 ,3,3,1
Apartamento,3.910,2000,Santana, 98 ,3,3,2
Apartamento,2.129,1500,Santana, 42 ,1,1,1
Apartamento,3.490,3000,Santana, 44 ,1,1,1
Sobrado,9.582,8500,Alto De Pinheiros, 162 ,3,3,3
Apartamento,2.196,1300,Jabaquara, 64 ,2,1,1
Apartamento,3.922,3000,Santana, 135 ,3,3,1
Apartamento,2.631,2000,Santana, 60 ,2,2,0
Sobrado,7.000,7000,Jardim São Bento, 400 ,3,6,5
Casa térrea,1.930,1800,Santana, 120 ,2,1,2
Sobrado,18.816,16000,Jardim São Bento, 1071 ,4,7,7
Apartamento,6.139,4000,Jardim América, 180 ,3,2,1
Apartamento,3.400,2800,Jardim Paulista, 106 ,2,1,0
Apartamento,7.729,5350,Alto Da Boa Vista, 187 ,3,3,2
Apartamento,7.488,5400,Itaim Bibi, 116 ,2,2,1
Apartamento,5.150,3000,Santana, 146 ,3,3,3
Apartamento,3.970,2300,Santana, 105 ,3,3,2
Apartamento,4.191,3000,Vila Mariana, 83 ,2,2,1
Apartamento,3.940,2800,Santana, 120 ,3,3,2
Apartamento,2.877,2300,Bela Vista, 42 ,1,1,1
Apartamento,2.320,1600,Santana, 68 ,2,1,1
Apartamento,16.224,13000,Moema, 120 ,2,3,2
Apartamento,3.110,2000,Santana, 78 ,2,2,1
Casa,106.630,90000,Jardim América, 880 ,0,10,30
Casa,3.810,3600,Jardim São Paulo(zona Norte), 150 ,3,3,2
Apartamento,5.659,4500,Vila Olímpia, 78 ,2,2,1
Apartamento,3.606,2500,Santana, 80 ,3,2,2
Apartamento,6.977,4700,Campo Belo, 153 ,4,5,2
Apartamento,22.912,18000,Jardim América, 230 ,3,4,2
Apartamento,7.980,6800,Vila Olímpia, 70 ,2,2,1
Apartamento,3.000,1800,Santana, 110 ,3,3,2
Apartamento,2.716,1800,Santana, 73 ,2,2,1
Apartamento,11.118,8500,Jardim Paulista, 140 ,3,4,1
Apartamento,1.780,1000,Centro, 55 ,2,1,0
Apartamento,7.190,6000,Santana, 169 ,3,3,2
Apartamento,9.393,7000,Santana, 179 ,3,4,3
Apartamento,2.800,2270,Santana, 40 ,1,2,1
Casa,7.843,7000,Vila Mariana, 351 ,3,3,2
Casa,1.700,1700,Santana, 80 ,2,1,0
Apartamento,4.035,2700,Santana, 140 ,3,3,1
Apartamento,2.697,2100,Santana, 41 ,1,2,1
Apartamento,1.820,1300,Bela Vista, 34 ,1,1,1
Casa,3.861,3500,Santana, 180 ,2,2,1
Apartamento,8.859,6800,Jardim América, 110 ,3,3,2
Duplex,40.300,25000,Jardim Guedala, 503 ,4,5,6
Apartamento,3.440,1800,Santana, 106 ,3,2,2
Cobertura,37.543,27000,Vila Nova Conceição, 357 ,3,7,4
Apartamento,5.520,4500,Pinheiros, 112 ,2,2,1
Apartamento,29.825,24000,Moema, 275 ,3,5,4
Apartamento,2.172,1750,Santana, 96 ,2,1,0
Apartamento,8.400,4000,Santana, 207 ,4,3,4
Casa,47.772,44000,Jardim América, 462 ,11,7,8
Apartamento,5.520,4500,Vila Mariana, 113 ,3,3,1
Apartamento,3.279,2500,Santana, 74 ,2,3,0
Sobrado,39.000,36000,Alto De Pinheiros, 585 ,4,8,4
Apartamento,1.936,1300,Santana, 53 ,2,1,1
Apartamento,2.031,1400,Santana, 40 ,1,1,1
Salas,4.979,3700,Jardim Paulista, 50 ,0,1,0
Apartamento,3.650,3000,Santana, 60 ,1,2,1
Casa,65.000,25000,Morumbi, 3200 ,5,8,5
Casa,23.522,20000,Jardim América, 600 ,4,3,5
Sobrado,2.690,2500,Jardim São Paulo(zona Norte), 150 ,2,2,1
Sobrado,2.570,2500,Santana, 110 ,2,2,1
Apartamento,5.866,3500,Santana, 143 ,3,2,3
Apartamento,2.050,2000,Santana, 115 ,2,1,0
Casa,33.650,30000,Morumbi, 800 ,4,7,10
Apartamento,4.458,3000,Pinheiros, 73 ,2,2,1
Apartamento,3.000,2500,Santana, 42 ,1,1,2
Salas,2.195,1200,Perdizes, 37 ,0,1,1
Duplex,6.860,4000,Santana, 160 ,3,3,4
Apartamento,3.250,2600,Vila Olímpia, 62 ,1,2,1
Apartamento,13.000,9200,Jardim Paulista, 239 ,3,3,1
Apartamento,1.850,1600,Santana, 76 ,2,1,0
Apartamento,3.706,2600,Santa Teresinha, 80 ,3,2,2
Casa,2.000,2000,Saúde, 150 ,2,1,1
Cobertura,13.656,7000,Água Fria, 490 ,5,8,5
Apartamento,5.914,4450,Pinheiros, 125 ,3,3,1
Casa,41.000,37000,Jardim América, 750 ,4,3,8
Sobrado,36.897,35000,Alto De Pinheiros, 467 ,4,7,5
Sobrado,30.975,27500,Alto De Pinheiros, 890 ,4,6,5
Condomínio,45.000,45000,Morumbi, 1000 ,4,6,4
Apartamento,17.389,12000,Jardim América, 440 ,3,4,2
Cobertura,7.930,6000,Vila Mariana, 130 ,2,3,2
Apartamento,1.780,1000,Bom Retiro, 55 ,2,1,0
Apartamento,5.090,4000,Pinheiros, 135 ,2,2,1
Apartamento,3.060,2380,Santana, 42 ,1,1,1
Casa,12.000,8000,Santana, 236 ,1,1,0
Sobrado,21.586,20000,Alto De Pinheiros, 507 ,4,6,5
Apartamento,2.160,1800,Santana, 41 ,2,1,0
Casa,27.116,25000,Jardim América, 370 ,5,8,5
Apartamento,7.862,5900,Vila Madalena, 133 ,2,2,2
Apartamento,1.325,1100,Vila Prudente, 30 ,1,1,0
Apartamento,2.000,1100,Bela Vista, 34 ,1,1,1
Apartamento,3.067,2350,Vila Santa Catarina, 70 ,2,1,1
Casa,2.109,2000,Jardim São Paulo(zona Norte), 110 ,2,1,0
Apartamento,2.805,2100,Santana, 44 ,1,1,1
Apartamento,8.347,7000,Vila Olímpia, 54 ,1,2,1
Apartamento,8.382,6282,Paraíso, 150 ,3,3,2
Cobertura,9.960,8400,Vila Nova Conceição, 136 ,2,3,2
Apartamento,3.350,2800,Saúde, 68 ,2,2,1
Apartamento,9.996,6000,Moema, 240 ,4,5,4
Apartamento,3.590,1700,Santana, 97 ,3,3,2
Apartamento,11.000,7500,Moema, 193 ,4,5,3
